   ;Produto;Código;Cód Barras;Situação;Preço de Venda; 
;BASE F - SUPER LAVAVEL 800ML;002137;7891019146376;Inativo;1,0000; por UN
;BASE F - WANDEPOXY;002195;7891019173136;Inativo;1,0000; por UN
;BASE F - 3 EM 1;002087;7891019106462;Inativo;1,0000; por UN
;BASE F - 3 EM 1 3,2L;002086;7891019106455;Inativo;1,0000; por UN
;BASE F - 3 EM 1 800ML;002085;7891019106448;Inativo;1,0000; por UN
;BASE FT - TEXTURIZADO GEL;002151;7891019155101;Inativo;1,0000; por UN
;BASE FT - TEXTURIZADO GEL 800ML;002152;7891019155118;Inativo;1,0000; por UN
;BASE M - ACABAMENTO DE SEDA;002230;7891019177127;Inativo;1,0000; por UN
;BASE M - ACABAMENTO DE SEDA 3,2L;002229;7891019177080;Inativo;1,0000; por UN
;BASE M - ACABAMENTO DE SEDA 800ML;002228;7891019177059;Inativo;1,0000; por UN
;BASE M - CORALIT AB ULTRA RES 3.2L CORAL;000425;7891019205578;Ativo;1,0000; por GL
;BASE M - CORALIT AB 16L;002126;SEM GTIN;Inativo;1,0000; por UN
;BASE M - CORALIT AB 18L;002125;7891019205561;Inativo;1,0000; por UN
;BASE M - CORALIT AC 0,800ML;002118;7891019133550;Inativo;1,0000; por UN
;BASE M - CORALIT AC 3,2L;002117;7891019133567;Inativo;1,0000; por UN
;BASE M - CORALIT ZERO BRILHANTE;002159;7891019165315;Inativo;1,0000; por UN
;BASE M - CORALIT ZERO BRILHANTE 800ML;002160;7891019165322;Inativo;1,0000; por UN
;BASE M - DECORA CORES FOSCO;002107;7891019106684;Inativo;1,0000; por UN
;BASE M - DECORA CORES FOSCO 3,2L;002106;7891019106677;Inativo;1,0000; por UN
;BASE M - DECORA CORES FOSCO 800ML;002108;7891019106660;Inativo;1,0000; por UN
;BASE M - DECORA CORES SEMI BRILHO;002094;7891019106806;Inativo;1,0000; por UN
;BASE M - DECORA CORES SEMI BRILHO 3,2L;002095;7891019106790;Inativo;1,0000; por UN
;BASE M - DECORA CORES SEMI BRILHO 800ML;002096;7891019106783;Inativo;1,0000; por UN
;BASE M - DECORA SUAVE SENSACAO;002207;7891019156634;Inativo;1,0000; por UN
;BASE M - DECORA SUAVE SENSACAO 3,2L;002208;7891019156610;Inativo;1,0000; por UN
;BASE M - DECORA SUAVE SENSACAO 800ML;002206;7891019159710;Inativo;1,0000; por UN
;BASE M - SUPER LAVAVEL;002135;7891019147953;Inativo;1,0000; por UN
;BASE M - SUPER LAVAVEL 3,2L;002134;7891019147939;Inativo;1,0000; por UN
;BASE M - SUPER LAVAVEL 800ML;002136;7891019147946;Inativo;1,0000; por UN
;BASE M - 3 EM 1;002082;7891019106431;Inativo;1,0000; por UN
;BASE M - 3 EM 1 SEMI BRILHO;002220;7891019175963;Inativo;1,0000; por UN
;BASE M - 3 EM 1 SEMI BRILHO 3,2L;002219;7891019175970;Inativo;1,0000; por UN
;BASE M - 3 EM 1 SEMI BRILHO 800ML;002218;7891019175987;Inativo;1,0000; por UN
;BASE M - 3 EM 1 3,2L;002083;7891019106424;Inativo;1,0000; por UN
;BASE M - 3 EM 1 800ML;002084;7891019106417;Inativo;1,0000; por UN
;BASE MARMORE - DECORA EFEITO MARMORE;002327;7891019915712;Inativo;1,0000; por UN
;BASE MF - ACRILICO TOTAL FOSCO;002241;7891019177240;Inativo;1,0000; por UN
;BASE MF - ACRILICO TOTAL FOSCO 3,2L;002240;7891019177332;Inativo;1,0000; por UN
;BASE MF - ACRILICO TOTAL FOSCO 800ML;002239;7891019177325;Inativo;1,0000; por UN
;BASE MF - ACRILICO TOTAL SEMIBRILHO;002250;7891019907540;Inativo;1,0000; por UN
;BASE MF - ACRILICO TOTAL SEMIBRILHO 3,2L;002249;7891019907557;Inativo;1,0000; por UN
;BASE MF - ACRILICO TOTAL SEMIBRILHO 800ML;002248;7891019907564;Inativo;1,0000; por UN
;BASE MF - CORALIT TOTAL ACET 0,8 L - CORAL;000427;7891019907915;Ativo;1,0000; por QT
;BASE MF - CORALIT TOTAL ACET 3.2L - CORAL;000426;7891019907908;Ativo;1,0000; por GL
;BASE MF - CORALIT TOTAL ACETINADO;002334;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - CORALIT TOTAL ACETINADO 800ML;002335;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - CORALIT TOTAL BR 3.2L - CORAL;000428;SEM GTIN;Inativo;1,0000; por GL
;BASE MF - CORALIT TOTAL BRILHANTE;002331;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - CORALIT ULTRA RESISTENCIA BALANCE AC;002303;7891019909667;Inativo;1,0000; por UN
;BASE MF - CORALIT ULTRA RESISTENCIA BALANCE AC 700ML;002302;7891019909674;Inativo;1,0000; por UN
;BASE MF - CORALIT ULTRA RESISTENCIA BALANCE BR;002297;7891019909681;Inativo;1,0000; por UN
;BASE MF - CORALIT ULTRA RESISTENCIA BALANCE BR 700ML;002296;7891019909698;Inativo;1,0000; por UN
;BASE MF - CORALIT ZERO BRILHANTE;002272;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - CORALIT ZERO BRILHANTE 3,2L;002271;7891019907939;Inativo;1,0000; por UN
;BASE MF - DECORA DIAMANTE S/B 16L - CORAL;000429;7891019177936;Ativo;1,0000; por LA
;BASE MF - DECORA DIAMANTE S/B 3.2L - CORAL;000430;7891019177943;Ativo;240,0000; por GL
;BASE MF - DECORA MATE FOSCO 0,8L - CORAL;000439;7891019906741;Ativo;1,0000; por QT
;BASE MF - DECORA MATE FOSCO 16L - CORAL;000433;7891019177882;Ativo;1,0000; por LA
;BASE MF - DECORA MATE FOSCO 3.2L - CORAL;000434;7891019906734;Ativo;1,0000; por GL
;BASE MF - DECORA MATTE 3,2L;000334;SEM GTIN;Inativo;1,0000; por GL
;BASE MF - DECORA SEDA AC 0,8 L - CORAL;000512;7891019915774;Ativo;1,0000; por QT
;BASE MF - DECORA SEDA AC 1 3,2L;002324;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - DECORA SEDA AC 16L - CORAL;000440;SEM GTIN;Ativo;1,0000; por LA
;BASE MF - DECORA SEDA AC 16L - CORAL 800ML;000435;SEM GTIN;Inativo;1,0000; por LA
;BASE MF - DECORA SEDA AC 2 3,2L;002322;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - DECORA SEDA AC 3.2L - CORAL;000511;7891019915767;Ativo;232,5000; por GL
;BASE MF - DECORA SEDA AC 800ML;002323;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - NOVO DECORA FOSCO 1 3,2L;002257;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - NOVO DECORA FOSCO 2 3,2L;002258;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - NOVO DECORA FOSCO 800ML;002259;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - NOVO DECORA SEMIBRILHO;002266;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - NOVO DECORA SEMIBRILHO 800ML;002267;7891019177950;Inativo;1,0000; por UN
;BASE MF - RENOVA FOSCO 1 3,2L;002315;7891019915279;Inativo;1,0000; por UN
;BASE MF - RENOVA FOSCO 2 3,2L;002316;7891019915316;Inativo;1,0000; por UN
;BASE MF - RENOVA FOSCO 800ML;001167;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - SOL & CHUVA 1 800ML;002308;7891019915040;Inativo;1,0000; por UN
;BASE MF - SOL & CHUVA 2 800ML;002309;7891019915033;Inativo;1,0000; por UN
;BASE MF - SOL&CHUVA ACRIL TOTAL 16L;002289;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - SOL&CHUVA ACRIL TOTAL 16L - CORAL;000513;7891019909025;Ativo;1,0000; por LA
;BASE MF - SOL&CHUVA ACRIL TOTAL 3,2L;002288;SEM GTIN;Inativo;1,0000; por UN
;BASE MF - SOL&CHUVA ACRIL TOTAL 3.2L - CORAL;000521;SEM GTIN;Ativo;1,0000; por GL
;BASE MF - SUPER LAVAVEL EGGSHELL;002282;7891019906703;Inativo;1,0000; por UN
;BASE MF - SUPER LAVAVEL EGGSHELL 1 800ML;002280;7891019906710;Inativo;1,0000; por UN
;BASE MF - SUPER LAVAVEL EGGSHELL 16L - CORAL;000522;SEM GTIN;Ativo;1,0000; por LA
;BASE MF - SUPER LAVAVEL EGGSHELL 2 800ML;002281;7891019906697;Inativo;1,0000; por UN
;BASE MF - SUPER LAVAVEL EGGSHELL 3.2L - CORAL;000523;SEM GTIN;Inativo;1,0000; por GL
;BASE NATURAL - CETOL EFEITO NATURAL AC 15L;002174;7891574063750;Inativo;1,0000; por UN
;BASE NATURAL - CETOL EFEITO NATURAL AC 3,2L;002173;7891574062081;Inativo;1,0000; por UN
;BASE NATURAL - CETOL EFEITO NATURAL BALANCE AC;002185;7891019171170;Inativo;1,0000; por UN
;BASE NATURAL - CETOL EFEITO NATURAL BALANCE AC 800ML;002184;7891019171163;Inativo;1,0000; por UN
;BASE NATURAL - SPARALACK CETOL STAIN AC 800ML;002341;SEM GTIN;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK CETOL BALANCE AC;002199;7891019174416;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK CETOL BALANCE AC 900ML;002200;7891019174423;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK CETOL BALANCE BR;002202;7891019174294;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK CETOL BALANCE BR 900ML;002201;7891019174300;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK EX MAR B AGUA AC;002189;7891019170968;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK EX MAR B AGUA AC 900ML;002188;7891019170975;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK EX MAR B AGUA BR;002187;7891019171149;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK EX MAR B AGUA BR 900ML;002186;7891019170951;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK EXTRA MARIT AC;002181;7891019171095;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK EXTRA MARIT AC 900ML;002180;SEM GTIN;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK EXTRA MARIT BR 16L;002175;SEM GTIN;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK EXTRA MARIT BR 3,2L;002176;7891574012352;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK EXTRA MARIT FO;002183;7891574012338;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK EXTRA MARIT FO 900ML;002182;7891574012345;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK TFS AC;002172;7891574012314;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK TFS AC 900ML;002171;7891574012321;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK TFS BALANCE AC;002193;7891019169986;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK TFS BALANCE AC 900ML;002192;7891019170029;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK TFS BALANCE BR;002191;7891019170111;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK TFS BALANCE BR 900ML;002190;7891019170104;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK TFS BR;002169;7891574012291;Inativo;1,0000; por UN
;BASE NATURAL - SPARLACK TFS BR 900ML;002170;7891574012284;Inativo;1,0000; por UN
;BASE P - ACABAMENTO DE SEDA;002227;7891019177110;Inativo;1,0000; por UN
;BASE P - ACABAMENTO DE SEDA 800ML;002225;7891019177035;Inativo;1,0000; por UN
;BASE P - ACABAMENTO DE SEDA 900ML;002226;SEM GTIN;Inativo;1,0000; por UN
;BASE P - ACRILICO TOTAL FOSCO;002238;7891019177226;Inativo;1,0000; por UN
;BASE P - ACRILICO TOTAL FOSCO 3,2L;002237;7891019177356;Inativo;1,0000; por UN
;BASE P - ACRILICO TOTAL FOSCO 800ML;002236;7891019177349;Inativo;1,0000; por UN
;BASE P - ACRILICO TOTAL SEMIBRILHO;002247;7891019907328;Inativo;1,0000; por UN
;BASE P - ACRILICO TOTAL SEMIBRILHO 3,2L;002246;7891019907335;Inativo;1,0000; por UN
;BASE P - ACRILICO TOTAL SEMIBRILHO 800ML;002245;7891019907342;Inativo;1,0000; por UN
;BASE P - CORALIT AB;002123;SEM GTIN;Inativo;1,0000; por UN
;BASE P - CORALIT AB 800ML;002124;7891019205530;Inativo;1,0000; por UN
;BASE P - CORALIT AC;002116;SEM GTIN;Inativo;1,0000; por UN
;BASE P - CORALIT AC 800ML;002115;7891019132720;Inativo;1,0000; por UN
;BASE P - CORALIT BRILHANTE ULTRA RES 3.2L ;002608;7891019132867;Ativo;155,0000; por GL
;BASE P - CORALIT TOTAL ACETINADO;002333;SEM GTIN;Inativo;1,0000; por UN
;BASE P - CORALIT TOTAL BRILHANTE;002330;SEM GTIN;Inativo;1,0000; por UN
;BASE P - CORALIT ULTRA RESISTENCIA BALANCE AC;002300;7891019909629;Inativo;1,0000; por UN
;BASE P - CORALIT ULTRA RESISTENCIA BALANCE AC 700ML;002301;7891019909636;Inativo;1,0000; por UN
;BASE P - CORALIT ULTRA RESISTENCIA BALANCE BR;002295;7891019909643;Inativo;1,0000; por UN
;BASE P - CORALIT ULTRA RESISTENCIA BALANCE BR 700ML;002294;7891019909650;Inativo;1,0000; por UN
;BASE P - CORALIT ZERO ACETINADO;002274;7891019907960;Inativo;1,0000; por UN
;BASE P - CORALIT ZERO ACETINADO 800ML;002273;7891019907977;Inativo;1,0000; por UN
;BASE P - CORALIT ZERO BRILHANTE 16L;002158;7891019165308;Inativo;1,0000; por UN
;BASE P - CORALIT ZERO BRILHANTE 3,2L;002157;SEM GTIN;Inativo;1,0000; por UN
;BASE P - DECORA CORES FOSCO;002103;7891019106653;Inativo;1,0000; por UN
;BASE P - DECORA CORES FOSCO 3,2L;002105;7891019133543;Inativo;1,0000; por UN
;BASE P - DECORA CORES FOSCO 800ML;002104;7891019106646;Inativo;1,0000; por UN
;BASE P - DECORA CORES SEMI BRILHO;002091;7891019106776;Inativo;1,0000; por UN
;BASE P - DECORA CORES SEMI BRILHO 3,2L;002093;7891019106769;Inativo;1,0000; por UN
;BASE P - DECORA CORES SEMI BRILHO 800ML;002092;7891019106752;Inativo;1,0000; por UN
;BASE P - DECORA DIAMANTE S/B 3.2L ;002530;7891019907021;Ativo;262,5000; por GL
;BASE P - DECORA DIAMENTE S/B 800M - CORAL;000524;SEM GTIN;Ativo;1,0000; por QT
;BASE P - DECORA MATTE EXTRA FOSCO 3.2L - CORAL;000525;7891019906833;Ativo;195,0000; por GL
;BASE P - DECORA SEDA AC 3,2L;002321;SEM GTIN;Inativo;1,0000; por UN
;BASE P - DECORA SEDA AC 800ML;002320;SEM GTIN;Inativo;1,0000; por UN
;BASE P - DECORA SUAVE SENSACAO;002205;7891019156665;Inativo;1,0000; por UN
;BASE P - DECORA SUAVE SENSACAO 3,2L;002204;7891019156597;Inativo;1,0000; por UN
;BASE P - DECORA SUAVE SENSACAO 800ML;002203;7891019156603;Inativo;1,0000; por UN
;BASE P - NOVO DECORA FOSCO 16L;002254;SEM GTIN;Inativo;1,0000; por UN
;BASE P - NOVO DECORA FOSCO 800ML;002255;7891019906826;Inativo;1,0000; por UN
;BASE P - RENOVA FOSCO;002314;7891019915309;Inativo;1,0000; por UN
;BASE P - RENOVA FOSCO 16L;002313;7891019915194;Inativo;1,0000; por UN
;BASE P - RENOVA FOSCO 3,2L;002312;7891019915262;Inativo;1,0000; por UN
;BASE P - SOL & CHUVA;002307;SEM GTIN;Inativo;1,0000; por UN
;BASE P - SOL & CHUVA IMPER;002306;SEM GTIN;Inativo;1,0000; por UN
;BASE P - SOL&CHUVA ACRIL TOTAL;002286;7891019909049;Inativo;1,0000; por UN
;BASE P - SOL&CHUVA ACRIL TOTAL 3,2L;002287;7891019909056;Inativo;1,0000; por UN
;BASE P - SUPER LAVAVEL;002132;7891019147922;Inativo;1,0000; por UN
;BASE P - SUPER LAVAVEL EGGSHELL;002277;7891019908165;Inativo;1,0000; por UN
;BASE P - SUPER LAVAVEL EGGSHELL 3,2L;002279;7891019908172;Inativo;1,0000; por UN
;BASE P - SUPER LAVAVEL EGGSHELL 800ML;002278;7891019908189;Inativo;1,0000; por UN
;BASE P - SUPER LAVAVEL 3,2L;002133;7891019147908;Inativo;1,0000; por UN
;BASE P - SUPER LAVAVEL 800ML;002131;7891019147915;Inativo;1,0000; por UN
;BASE P - 3 EM 1;002079;7891019106400;Inativo;1,0000; por UN
;BASE P - 3 EM 1 SEMI BRILHO;002217;7891019175932;Inativo;1,0000; por UN
;BASE P - 3 EM 1 SEMI BRILHO 3,2L;002216;7891019175949;Inativo;1,0000; por UN
;BASE P - 3 EM 1 SEMI BRILHO 800ML;002215;7891019175956;Inativo;1,0000; por UN
;BASE P - 3 EM 1 3,2L;002080;7891019106394;Inativo;1,0000; por UN
;BASE P - 3 EM 1 800ML;002081;7891019106387;Inativo;1,0000; por UN
;BASE P -NOVO DECORA FOSCO;002256;SEM GTIN;Inativo;1,0000; por UN
;BASE P -NOVO DECORA SEMIBRILHO;002264;SEM GTIN;Inativo;1,0000; por UN
;BASE P -NOVO DECORA SEMIBRILHO 16L;002265;7891019907014;Inativo;1,0000; por UN
;BASE P -NOVO DECORA SEMIBRILHO 800ML;002263;7891019907038;Inativo;1,0000; por UN
;BASE PM - BRILHO E PROTECAO;002179;7891019170616;Inativo;1,0000; por UN
;BASE PM - BRILHO E PROTECAO 3,2L;002178;7891019170586;Inativo;1,0000; por UN
;BASE PM - BRILHO E PROTECAO 800ML;002177;7891019170593;Inativo;1,0000; por UN
;BASE PM - CORALIT ZERO ACETINADO;002166;7891019165360;Inativo;1,0000; por UN
;BASE PM - CORALIT ZERO ACETINADO 800ML;002165;7891019165377;Inativo;1,0000; por UN
;BASE PM - RENDE MUITO NOVA FORMULA 16L;002198;SEM GTIN;Inativo;1,0000; por UN
;BASE PM - RENDE MUITO NOVA FORMULA 3,2L;002197;SEM GTIN;Inativo;1,0000; por UN
;BASE PM - RENDE MUITO 3.2L CORAL;002541;7891019170654;Ativo;148,0600; por GL
;BASE PM - RENDE MUITO 800ML CORAL;002542;7891019170661;Ativo;42,0000; por QT
;BASE PM - SOL & CHUVA;002168;7891019166404;Inativo;1,0000; por UN
;BASE PM - SOL & CHUVA 3,2L;002167;7891019166398;Inativo;1,0000; por UN
;BASE PM - TEXTURIZADO DESIGN;002148;7891019153695;Inativo;1,0000; por UN
;BASE PM - TEXTURIZADO DESIGN 3,2L;002147;7891019153619;Inativo;1,0000; por UN
;BASE PM - TEXTURIZADO GEL;002150;7891019153770;Inativo;1,0000; por UN
;BASE PM - TEXTURIZADO GEL 800ML;002149;7891019153855;Inativo;1,0000; por UN
;BASE PM - TEXTURIZADO LISO;002146;7891019152605;Inativo;1,0000; por UN
;BASE PM - TEXTURIZADO LISO 3,2L;002145;7891019152520;Inativo;1,0000; por UN
;BASE PM - TEXTURIZADO RUSTICO;002144;7891019152445;Inativo;1,0000; por UN
;BASE PM - TEXTURIZADO RUSTICO 3,2L;002143;7891019152360;Inativo;1,0000; por UN
;BASE PM - WANDEPOXY;002194;7891019173129;Inativo;1,0000; por UN
;BASE PM - WANDEPOXY BASE AGUA ACET 16L;002224;7891019176991;Inativo;1,0000; por UN
;BASE PM - WANDEPOXY BASE AGUA ACET 3,2L;002223;7891019177004;Inativo;1,0000; por UN
;BASE PM - WANDEPOXY BASE AGUA BRIL;002221;7891019176977;Inativo;1,0000; por UN
;BASE PM - WANDEPOXY BASE AGUA BRIL 800ML;002222;7891019176984;Inativo;1,0000; por UN
;BASE PMF - TIRA TEIMA;002155;7891019163625;Inativo;1,0000; por UN
;BASE PMFT - GEL PEROLIZADO;002154;7891019155552;Inativo;1,0000; por UN
;BASE PMFT - GEL PEROLIZADO 800ML;002153;7891019155569;Inativo;1,0000; por UN
;BASE POL. PRATA POLARIS MET. GM 05 900ML BRAZILIAN;000736;7899044710296;Inativo;1,0000; por UN
;BASE SELADOR - PROT SOL&CHUVA SELADOR IMP 18L;002293;7891019908615;Inativo;1,0000; por UN
;BASE SELADOR - PROT SOL&CHUVA SELADOR IMP 3,6L;002292;7891019908622;Inativo;1,0000; por UN
;BASE T - ACABAMENTO DE SEDA;002235;7891019177141;Inativo;1,0000; por UN
;BASE T - ACABAMENTO DE SEDA 800ML;002234;7891019177042;Inativo;1,0000; por UN
;BASE T - ACRILCIO TOTAL SEMIBRILHO;002253;7891019907373;Inativo;1,0000; por UN
;BASE T - ACRILCIO TOTAL SEMIBRILHO 3,2L;002252;7891019907380;Inativo;1,0000; por UN
;BASE T - ACRILCIO TOTAL SEMIBRILHO 800ML;002251;7891019907397;Inativo;1,0000; por UN
;BASE T - ACRILICO TOTAL FOSCO;002244;7891019177028;Inativo;1,0000; por UN
;BASE T - ACRILICO TOTAL FOSCO 3,2L;002243;7891019177363;Inativo;1,0000; por UN
;BASE T - ACRILICO TOTAL FOSCO 800ML;002242;7891019177370;Inativo;1,0000; por UN
;BASE T - CORALIT AB;002129;SEM GTIN;Inativo;1,0000; por UN
;BASE T - CORALIT AB ULTRA RES 3.2L ;002609;7891019205615;Ativo;200,0000; por GL
;BASE T - CORALIT AB 800ML;002130;7891019205608;Inativo;1,0000; por UN
;BASE T - CORALIT AC;002122;7891019133604;Inativo;1,0000; por UN
;BASE T - CORALIT AC 700ML;002121;7891019133598;Inativo;1,0000; por UN
;BASE T - CORALIT TOTAL ACETINADO;002336;SEM GTIN;Inativo;1,0000; por UN
;BASE T - CORALIT TOTAL BRILHANTE;002332;SEM GTIN;Inativo;1,0000; por UN
;BASE T - CORALIT ULTRA RESISTENCIA BALANCE AC;002305;7891019909704;Inativo;1,0000; por UN
;BASE T - CORALIT ULTRA RESISTENCIA BALANCE AC 700ML;002304;7891019909711;Inativo;1,0000; por UN
;BASE T - CORALIT ULTRA RESISTENCIA BALANCE BR;002299;7891019909728;Inativo;1,0000; por UN
;BASE T - CORALIT ULTRA RESISTENCIA BALANCE BR 700ML;002298;7891019909735;Inativo;1,0000; por UN
;BASE T - CORALIT ZERO ACETINADO;002275;7891019907953;Inativo;1,0000; por UN
;BASE T - CORALIT ZERO ACETINADO 700ML;002276;7891019907946;Inativo;1,0000; por UN
;BASE T - CORALIT ZERO BRILHANTE 16L;002164;SEM GTIN;Inativo;1,0000; por UN
;BASE T - CORALIT ZERO BRILHANTE 3,2L;002163;7891019165407;Inativo;1,0000; por UN
;BASE T - DECORA CORES FOSCO;002113;7891019106745;Inativo;1,0000; por UN
;BASE T - DECORA CORES FOSCO 3,2L;002112;7891019106738;Inativo;1,0000; por UN
;BASE T - DECORA CORES FOSCO 800ML;002114;7891019106721;Inativo;1,0000; por UN
;BASE T - DECORA CORES SEMI BRILHO;002100;7891019106868;Inativo;1,0000; por UN
;BASE T - DECORA CORES SEMI BRILHO 3,2L;002101;7891019106851;Inativo;1,0000; por UN
;BASE T - DECORA CORES SEMI BRILHO 800ML;002102;7891019106844;Inativo;1,0000; por UN
;BASE T - DECORA DIAMANTE S/B 3.2L ;002533;7891019906994;Ativo;220,5000; por GL
;BASE T - DECORA MATE FOSCO 800M 02.23.255;000518;7891019906864;Ativo;32,0000; por QT
;BASE T - DECORA SEDA AC;002326;SEM GTIN;Inativo;1,0000; por UN
;BASE T - DECORA SEDA AC 3.2L - CORAL;000431;7891019177103;Ativo;213,0000; por GL
;BASE T - DECORA SEDA AC 800ML;002325;SEM GTIN;Inativo;1,0000; por UN
;BASE T - DECORA SUAVE SENSACAO;002214;7891019156658;Inativo;1,0000; por UN
;BASE T - DECORA SUAVE SENSACAO 3,2L;002213;7891019155040;Inativo;1,0000; por UN
;BASE T - DECORA SUAVE SENSACAO 800ML;002212;7891019159734;Inativo;1,0000; por UN
;BASE T  LOUSA 3,2 LT CORAL;002393;7891019921744;Ativo;1,0000; por GL
;BASE T - MASTER 3,2L;002573;7891019993963;Ativo;250,0000; por GL
;BASE T - NOVO DECORA FOSCO 16L;002261;7891019906857;Inativo;1,0000; por UN
;BASE T - NOVO DECORA FOSCO 3,2L;002262;7891019906840;Inativo;1,0000; por UN
;BASE T - NOVO DECORA FOSCO 800ML;002260;SEM GTIN;Inativo;1,0000; por UN
;BASE T - NOVO DECORA SEMIBRILHO 16L;002269;SEM GTIN;Inativo;1,0000; por UN
;BASE T - NOVO DECORA SEMIBRILHO 3,2L;002270;7891019906987;Inativo;1,0000; por UN
;BASE T - NOVO DECORA SEMIBRILHO 800ML;002268;7891019907007;Inativo;1,0000; por UN
;BASE T - RENOVA FOSCO 16L;002319;7891019915200;Inativo;1,0000; por UN
;BASE T - RENOVA FOSCO 3,2L;002317;7891019915323;Inativo;1,0000; por UN
;BASE T - RENOVA FOSCO 800ML;002318;7891019915286;Inativo;1,0000; por UN
;BASE T - SOL & CHUVA;002310;7891019915026;Inativo;1,0000; por UN
;BASE T - SOL & CHUVA 3,2L;002311;7891019915019;Inativo;1,0000; por UN
;BASE T - SOL&CHUVA ACRIL TOTAL;002291;7891019909070;Inativo;1,0000; por UN
;BASE T - SOL&CHUVA ACRIL TOTAL 800ML;002290;7891019909063;Inativo;1,0000; por UN
;BASE T - SUPER LAVAVEL;002141;7891019148028;Inativo;1,0000; por UN
;BASE T - SUPER LAVAVEL EGGSHELL;002285;7891019908233;Inativo;1,0000; por UN
;BASE T - SUPER LAVAVEL EGGSHELL 3,2L;002284;7891019908240;Inativo;1,0000; por UN
;BASE T - SUPER LAVAVEL EGGSHELL 800ML;002283;7891019908257;Inativo;1,0000; por UN
;BASE T - SUPER LAVAVEL 3,2L;002140;7891019148004;Inativo;1,0000; por UN
;BASE T - SUPER LAVAVEL 800ML;002142;7891019146383;Inativo;1,0000; por UN
;BASE T - TIRA TEIMA;002156;7891019163632;Inativo;1,0000; por UN
;BASE T - WANDEPOXY;002196;7891019173143;Inativo;1,0000; por UN
;BASE T - 3 EM 1;002088;7891019106493;Inativo;1,0000; por UN
;BASE T - 3 EM 1 3,2L;002089;7891019106486;Inativo;1,0000; por UN
;BASE T - 3 EM 1 800ML;002090;7891019106479;Inativo;1,0000; por UN
;BASE VELVET - DECORA EFEITO VELVET;002329;7730149026687;Inativo;1,0000; por UN
;BASTON DESENGRIPANTE  300ML CHEMICOLOR;002579;7899674035660;Ativo;12,0000; por UN
;BASTON ESPUMA EXPANSIVA  12X500ML/310G CHEMICOLOR;002580;7898436140130;Ativo;23,9900; por UN
;BASTON ESPUMA EXPANSIVA PROTEG 500M 14.20.100;000482;7899674012555;Inativo;1,0000; por UN
;BATIDA DE PEDRA BRANCO 3,6L - MAXIRUBBER ( NOVO );001290;7898031542872;Ativo;116,9000; por GL
;BAUTECH ARGAMASSA ACABA TRINCA;000315;SEM GTIN;Inativo;1,0000; por UN
;BAUTECH CIMENTO IMPERMEAVEL 7000 18KG;001089;SEM GTIN;Inativo;1,0000; por UN
;BAUTECH FITA 10CM X 10M MANTA;000234;SEM GTIN;Inativo;1,0000; por UN
;BAUTECH FITA 20CM X 10M MANTA;000230;SEM GTIN;Inativo;1,0000; por UN
;BAUTECH FITA 30CM X 10M MANTA;000231;SEM GTIN;Inativo;1,0000; por UN
;BAUTECH FITA 45CM X 10M MANTA;000232;SEM GTIN;Inativo;1,0000; por UN
;BAUTECH FITA 90CM X 10M MANTA;000233;SEM GTIN;Inativo;1,0000; por UN
;BAUTECH SELANTE ACABA TRINCA;000314;SEM GTIN;Inativo;1,0000; por UN
;BAUTECH TAPA TRINCA 0,500GRS;000235;SEM GTIN;Inativo;1,0000; por UN
;BAUTECH TOP 18KG;000229;SEM GTIN;Inativo;1,0000; por CX
;BAUTECH VEDA CALHA CINZA;000316;SEM GTIN;Inativo;1,0000; por UN
